Open Time,Open,High,Low,Close,Volume,sma200,ema20,Position,tp,sl
2022-09-03 14:00:00,1561.63,1561.98,1543.58,1548.24,26859.1193,1606.1026000000002,1568.0508132340767,0,,
2022-09-03 16:00:00,1548.24,1555.77,1545.73,1553.8,16960.3783,1604.5876,1566.6935929235804,0,,
2022-09-03 18:00:00,1553.81,1564.0,1535.63,1549.31,30998.4931,1603.0909,1565.038012642397,0,,
2022-09-03 20:00:00,1549.31,1556.17,1546.7,1552.11,14335.2966,1601.6317,1563.8067733412724,0,,
2022-09-03 22:00:00,1552.1,1561.91,1549.84,1557.46,18000.7231,1600.19395,1563.202318736521,0,,
2022-09-04 00:00:00,1557.45,1561.55,1553.0,1555.09,16748.6734,1598.6881999999998,1562.4297169511408,0,,
2022-09-04 02:00:00,1555.08,1558.41,1547.45,1552.16,13246.1488,1597.15155,1561.4516486689924,0,,
2022-09-04 04:00:00,1552.16,1556.91,1549.88,1552.62,14228.9533,1595.63965,1560.6105392710992,0,,
2022-09-04 06:00:00,1552.61,1554.58,1543.56,1545.44,21201.935,1594.0013000000001,1559.16572600587,0,,
2022-09-04 08:00:00,1545.44,1560.53,1540.66,1552.59,28479.9418,1592.4600499999997,1558.5394663857478,0,,
2022-09-04 10:00:00,1552.59,1564.83,1550.76,1564.55,15781.3682,1590.93065,1559.1118981589602,0,,
2022-09-04 12:00:00,1564.54,1583.66,1546.56,1549.0,63347.1309,1589.3303,1558.14886023841,0,,
2022-09-04 14:00:00,1549.0,1562.37,1544.82,1560.55,22237.6528,1587.9011,1558.3775402158437,0,,
2022-09-04 16:00:00,1560.55,1576.49,1555.67,1569.61,30154.527,1586.6682500000002,1559.4472982911157,0,,
2022-09-04 18:00:00,1569.61,1573.0,1561.63,1567.1,16708.4729,1585.41365,1560.176127025659,0,,
2022-09-04 20:00:00,1567.1,1582.87,1563.27,1571.06,25656.0796,1584.1846999999998,1561.2126863570168,0,,
2022-09-04 22:00:00,1571.06,1580.48,1564.0,1579.28,28800.2329,1583.35795,1562.933382895147,0,,
2022-09-05 00:00:00,1579.29,1592.87,1570.0,1572.98,50028.0949,1582.5363,1563.8902035721535,0,,
2022-09-05 02:00:00,1572.98,1578.61,1568.68,1575.48,22931.255,1581.87505,1564.993993708508,0,,
2022-09-05 04:00:00,1575.47,1580.2,1556.56,1562.29,36510.9924,1581.2349,1564.736470498096,0,,
2022-09-05 06:00:00,1562.29,1570.82,1557.61,1562.49,31671.5998,1580.5565,1564.5225209267903,0,,
2022-09-05 08:00:00,1562.5,1569.34,1558.36,1565.51,26317.3678,1579.8532,1564.6165665528335,0,,
2022-09-05 10:00:00,1565.51,1569.05,1557.93,1566.86,33431.9059,1579.1816000000001,1564.8302268811829,0,,
2022-09-05 12:00:00,1566.85,1582.55,1562.41,1574.38,41071.6445,1578.8129999999999,1565.7397290831595,0,,
2022-09-05 14:00:00,1574.38,1606.43,1572.0,1600.82,78032.157,1578.7720499999998,1569.080707266329,0,,
2022-09-05 16:00:00,1600.82,1610.0,1588.37,1593.99,56902.1408,1578.6549,1571.453020860406,0,,
2022-09-05 18:00:00,1593.99,1598.39,1576.37,1586.01,43280.8957,1578.4467000000002,1572.8393998262898,0,,
2022-09-05 20:00:00,1586.02,1604.7,1585.51,1596.99,33219.7126,1578.2570999999998,1575.1394569860033,0,,
2022-09-05 22:00:00,1596.99,1631.99,1592.64,1617.8,50095.1706,1578.1073,1579.2023658449789,1,1597.99,1595.99
2022-09-06 00:00:00,1617.8,1676.0,1615.27,1639.16,138965.463,1578.12725,1584.9126167175211,1,1597.99,1595.99
2022-09-06 02:00:00,1639.16,1646.84,1624.28,1640.38,64669.3569,1578.17415,1590.1952246497176,1,1597.99,1595.99
2022-09-06 04:00:00,1640.37,1664.49,1637.0,1652.05,70489.4137,1578.25305,1596.0861556359953,1,1597.99,1595.99
2022-09-06 06:00:00,1652.05,1678.7,1650.0,1658.77,71279.6266,1578.37345,1602.0560455759162,1,1597.99,1595.99
2022-09-06 08:00:00,1658.76,1668.21,1646.91,1658.39,45250.524,1578.5825,1607.4211840928956,1,1597.99,1595.99
