ep_time,tp,Position,ep,sl,outcome
2022-10-04 00:00:00,1333.1,1,1323.1,1313.1,WIN
2022-10-04 00:00:00,1329.7,0,1323.1,1349.7,WIN
2022-10-14 02:00:00,1338.96,1,1328.96,1318.96,WIN
2022-10-14 02:00:00,1270.22,0,1328.96,1290.22,LOSS
2022-10-16 21:00:00,1320.49,1,1310.49,1300.49,LOSS
2022-10-16 21:00:00,1284.49,0,1310.49,1304.49,LOSS
2022-10-22 08:00:00,1309.69,1,1299.69,1289.69,WIN
2022-10-22 08:00:00,1552.34,0,1299.69,1572.34,LOSS
2022-11-01 06:00:00,1599.43,1,1589.43,1579.43,WIN
2022-11-01 06:00:00,1568.7,0,1589.43,1588.7,LOSS
2022-11-04 10:00:00,1589.53,1,1579.53,1569.53,WIN
2022-11-04 10:00:00,1565.39,0,1579.53,1585.39,LOSS
2022-11-12 15:30:00,1283.96,1,1273.96,1263.96,LOSS
2022-11-12 15:30:00,1225.53,0,1273.96,1245.53,WIN
2022-11-15 07:00:00,1267.0,1,1257.0,1247.0,WIN
2022-11-15 07:00:00,1217.67,0,1257.0,1237.67,WIN
2022-11-20 01:00:00,1232.44,1,1222.44,1212.44,LOSS
2022-11-20 01:00:00,1186.55,0,1222.44,1206.55,WIN
2022-11-23 09:00:00,1174.05,1,1164.05,1154.05,WIN
2022-11-23 09:00:00,1168.91,0,1164.05,1188.91,WIN
2022-11-29 09:30:00,1223.97,1,1213.97,1203.97,WIN
2022-11-29 09:30:00,1259.89,0,1213.97,1279.89,WIN
2022-12-05 01:00:00,1298.74,1,1288.74,1278.74,WIN
2022-12-05 01:00:00,1252.3,0,1288.74,1272.3,WIN
2022-12-08 20:00:00,1293.9,1,1283.9,1273.9,LOSS
2022-12-08 20:00:00,1244.44,0,1283.9,1264.44,WIN
2022-12-13 04:30:00,1283.8,1,1273.8,1263.8,LOSS
2022-12-13 04:30:00,1265.5,0,1273.8,1285.5,WIN
2022-12-20 06:00:00,1218.44,1,1208.44,1198.44,WIN
2022-12-22 20:00:00,1204.92,1,1194.92,1184.92,WIN
2022-12-26 23:30:00,1231.67,1,1221.67,1211.67,LOSS
2022-12-26 23:30:00,1199.95,0,1221.67,1219.95,WIN
2022-12-31 14:30:00,1216.6,1,1206.6,1196.6,LOSS
2023-01-01 16:30:00,1207.71,1,1197.71,1187.71,WIN
